DATA;JOGADOR 1;JOGADOR 2;JOGADOR 3;JOGADOR 4;PLACAR DUPLA 1;PLACAR DUPLA 2;BUCHUDA DE Rê?;PONTUAR;PAGADOR1;DEB PAG1;COMP PG1;PAGADOR2;DEB PAG2;COMP PG2
28/07/2025;CARCAMANO;MOLINHO;FUMACINHA;POL÷CIA FEMININA;6;0;N«O;7;FUMACINHA;$2.00;OK;POL÷CIA FEMININA;$2.00;OK
14/07/2025;PROFESSOR;POL÷CIA FEMININA;FUMACINHA;÷NDIO;0;6;N«O;7;PROFESSOR;$2.00;OK;POL÷CIA FEMININA;$2.00;OK
21/07/2025;PROFESSOR;POL÷CIA FEMININA;SEM PRESSA;JAPON“S;7;0;N«O;8;SEM PRESSA;$2.00;OK;JAPON“S;$2.00;OK
27/08/2024;FUMACINHA;TATU BOLA;÷NDIO;APRENDIZ;0;6;N«O;7;FUMACINHA;2;OK;TATU BOLA;2;OK
07/08/2023;PROFESSOR;FANTASMA;MESTRE;TIA LÈIÄA;7;0;N«O;8;MESTRE;2;OK;TIA LÈIÄA;2;OK
25/09/2023;PROFESSOR;TATU BOLA;CARCAMANO;LITR«O;0;6;N«O;7;PROFESSOR;2;OK;TATU BOLA;2;OK
15/08/2023;MESTRE;TIA LÈIÄA;JOGADOR N«O MEMBRO;MOLINHO;0;6;N«O;7;MESTRE;2;OK;TIA LÈIÄA;2;OK
01/04/2024;MOLINHO;TIA LÈIÄA;JOGADOR N«O MEMBRO;JAPON“S;6;0;N«O;7;JOGADOR N«O MEMBRO;2;OK;JAPON“S;2;OK
23/08/2023;CARCAMANO;MOLINHO;FANTASMA;TATU BOLA;6;0;N«O;7;FANTASMA;2;OK;TATU BOLA;2;OK
15/02/2024;PROFESSOR;JAPON“S;FUMACINHA;TIA LÈIÄA;0;6;N«O;7;PROFESSOR;2;OK;JAPON“S;2;OK
07/06/2024;MESTRE;TIA LÈIÄA;JOGADOR N«O MEMBRO;FUMACINHA;0;6;N«O;7;MESTRE;2;OK;TIA LÈIÄA;2;OK
17/01/2024;FANTASMA;MESTRE;VOV‚;TATU BOLA;6;0;N«O;7;VOV‚;2;OK;TATU BOLA;2;OK
02/10/2023;MESTRE;TIA LÈIÄA;÷NDIO;MOLINHO;6;0;N«O;7;÷NDIO;2;OK;MOLINHO;2;OK
04/09/2024;JOGADOR N«O MEMBRO;SEM PRESSA;PROFESSOR;TATU BOLA;0;6;N«O;7;JOGADOR N«O MEMBRO;2;OK;SEM PRESSA;2;OK
18/08/2025;CARCAMANO;TIA LÈIÄA;FUMACINHA;POL÷CIA FEMININA;6;0;N«O;7;FUMACINHA;$2.00;OK;POL÷CIA FEMININA;$2.00;OK
03/06/2024;÷NDIO;TATU BOLA;PROFESSOR;FUMACINHA;0;6;N«O;7;÷NDIO;2;OK;TATU BOLA;2;OK
13/01/2025;MESTRE;TIA LÈIÄA;APRENDIZ;JAPON“S;0;6;N«O;7;MESTRE;2;OK;TIA LÈIÄA;2;OK
24/01/2025;JORNALISTA;PROFESSOR;FUMACINHA;JAPON“S;6;0;N«O;7;FUMACINHA;2;OK;JAPON“S;2;OK
15/03/2024;÷NDIO;JOGADOR N«O MEMBRO;MOLINHO;TIA LÈIÄA;6;0;N«O;7;MOLINHO;2;OK;TIA LÈIÄA;2;OK
13/06/2024;CARCAMANO;PROFESSOR;JOGADOR N«O MEMBRO;TATU BOLA;6;0;N«O;7;JOGADOR N«O MEMBRO;2;OK;TATU BOLA;2;OK
27/11/2023;CARCAMANO;TATU BOLA;JAPON“S;TIA LÈIÄA;0;8;N«O;9;CARCAMANO;2;OK;TATU BOLA;2;OK
27/11/2025;PROFESSOR;POL÷CIA FEMININA;FUMACINHA;TATU BOLA;0;6;N«O;7;PROFESSOR;$2.00;OK;POL÷CIA FEMININA;$2.00;OK
28/05/2025;VOV‚;CARCAMANO;SEM PRESSA;TATU BOLA;6;0;N«O;7;SEM PRESSA;$2.00;OK;TATU BOLA;$2.00;OK
18/09/2025;MOLINHO;MESTRE;POL÷CIA FEMININA;SEM PRESSA;6;0;N«O;7;POL÷CIA FEMININA;$2.00;OK;SEM PRESSA;$2.00;OK
12/11/2025;PROFESSOR;TATU BOLA;JORNALISTA;FUMACINHA;0;7;N«O;8;PROFESSOR;$2.00;OK;TATU BOLA;$2.00;OK
27/06/2024;CARCAMANO;÷NDIO;PROFESSOR;APRENDIZ;0;8;N«O;9;CARCAMANO;2;OK;÷NDIO;2;OK
31/01/2024;CARCAMANO;LITR«O;MESTRE;TIA LÈIÄA;6;0;N«O;7;MESTRE;2;OK;TIA LÈIÄA;2;OK
12/07/2023;CARCAMANO;÷NDIO;MOLINHO;TIA LÈIÄA;0;6;N«O;7;CARCAMANO;2;OK;÷NDIO;2;OK
17/11/2023;MOLINHO;JOGADOR N«O MEMBRO;TIA LÈIÄA;JAPON“S;6;0;N«O;7;TIA LÈIÄA;2;OK;JAPON“S;2;OK
13/05/2024;JORNALISTA;JAPON“S;MESTRE;TIA LÈIÄA;0;6;N«O;7;JORNALISTA;2;OK;JAPON“S;2;OK
07/12/2023;PROFESSOR;TATU BOLA;VOV‚;JOGADOR N«O MEMBRO;0;6;N«O;7;PROFESSOR;2;OK;TATU BOLA;2;OK
13/09/2024;MESTRE;TIA LÈIÄA;MOLINHO;TATU BOLA;6;5;SIM;8;MOLINHO;3;OK;TATU BOLA;3;OK
25/04/2024;LITR«O;TATU BOLA;CARCAMANO;JAPON“S;0;6;N«O;7;LITR«O;2;OK;TATU BOLA;2;OK
03/08/2023;MESTRE;TIA LÈIÄA;MOLINHO;JAPON“S;6;0;N«O;7;MOLINHO;2;OK;JAPON“S;2;OK
03/10/2023;JOGADOR N«O MEMBRO;TIA LÈIÄA;CARCAMANO;JAPON“S;0;6;N«O;7;JOGADOR N«O MEMBRO;2;OK;TIA LÈIÄA;2;OK
